ID,density
1125074,43
1125073,24
1125072,44
1125071,35
1125070,21
1125067,29
1125066,22
1125065,34
1125063,49
1125061,10
1125059,37
1125058,38
1125056,46
1125055,20
1125054,4
1125053,38
1125052,38
1125051,5
1124080,31
1124079,35
1124078,13
1124077,46
1124075,23
1124071,29
1124070,45
1124069,20
1124068,3
1124067,26
1124066,8
1124065,17
1124064,47
1124063,41
1124062,25
1124061,12
1124060,46
1124059,21
1124058,36
1124057,12
1124056,1
1124055,23
1124054,42
1124053,31
1124052,35
1124051,12
1123080,21
1123079,21
1123078,24
1123077,36
1123076,29
1123075,10
1123074,44
1123073,1
1123072,12
1123071,6
1123068,13
1123067,7
1123066,12
1123065,13
1123064,22
1123063,35
1123060,38
1123059,9
1123058,8
1123053,39
1123052,10
1123051,4
1122068,5
1122067,29
1122066,44
1122065,6
1122064,13
1122063,0
1122062,27
1122061,16
1122060,32
1122059,16
1122058,9
1122057,0
1122056,6
1122055,6
1122054,32
1122053,42
1122052,43
1122051,3
1121083,34
1121082,4
1121081,33
1121080,27
1121079,31
1121078,34
1121073,31
1121072,7
1121071,2
1121069,43
1121068,26
1121066,19
1121065,18
1121064,23
1121063,36
1121062,21
1121061,0
1121058,1
1121057,15
1121054,1
1121052,16
1120073,27
1120072,21
1120071,8
1120070,17
1120069,47
1120068,39
1120067,19
1120066,34
1120065,6
1120063,43
1120056,6
1120055,5
1120054,25
1120053,16
1120052,49
1119076,5
1119075,42
1119074,31
1119073,15
1119072,11
1119071,22
1119070,8
1119069,48
1119068,25
1119067,41
1119066,28
1119065,39
1119063,48
1119062,46
1119061,21
1119056,32
1119055,47
1119054,40
1118061,7
1118060,22
1118059,21
1118058,5
1118057,13
1118055,40
1118054,13
1118053,43
1118052,20
1118051,10
1117072,22
1117071,15
1117070,2
1117069,29
1117068,43
1117067,34
1117065,47
1117064,48
1117062,28
1117061,48
1117056,9
1117055,33
1117054,37
1117052,24
1117051,48
1116074,39
1116073,5
1116072,22
1116071,13
1116070,5
1116069,27
1116067,6
1116066,41
1116065,30
1116064,19
1116063,30
1116061,8
1116059,47
1116058,32
1116057,46
1116055,28
1116054,0
1116053,25
1116052,46
1116051,12
1115072,42
1115071,40
1115070,32
1115069,10
1115066,47
1115065,5
1115064,2
1115063,18
1115062,43
1115061,27
1115060,40
1115059,33
1115058,20
1115057,4
1115054,29
1115053,7
1115052,27
1115051,5
1114078,46
1114077,26
1114076,3
1114075,19
1114074,8
1114073,15
1114072,46
1114071,12
1114070,11
1114069,22
1114068,35
1114066,5
1114063,15
1114061,13
1114060,31
1114059,40
1113076,17
1113075,9
1113074,8
1113073,46
1113072,45
1113071,18
1113070,31
1113069,45
1113068,3
1113066,41
1113065,8
1113064,48
1113062,9
1113052,26
1112074,30
1112073,5
1112072,15
1112071,1
1112068,21
1112067,21
1112066,46
1112065,30
1112060,26
1112059,17
1112058,17
1112057,2
1112056,11
1112055,17
1112052,19
1112051,26
1111079,45
1111078,49
1111077,6
1111076,8
1111074,45
1111073,41
1111072,6
1111069,37
1111066,16
1111065,12
1111064,15
1111061,49
1111060,41
1111059,42
1111058,21
1111056,21
1111053,18
1111052,11
1111051,11
1110065,23
1110064,46
1110063,34
1110062,15
1110061,40
1110060,15
1110059,45
1110057,2
1110056,7
1110055,34
1110054,2
1110053,48
1110052,49
1110051,17
1109075,35
1109074,27
1109073,24
1109072,22
1109071,49
1109070,23
1109069,21
1109065,22
1109064,29
1109063,40
1109062,39
1109061,32
1109060,30
1108085,23
1108084,31
1108083,39
1108082,42
1108081,28
1108078,43
1108077,23
1108076,1
1108072,38
1108071,19
1108068,29
1108066,45
1108065,35
1108064,43
1108063,2
1108062,8
1108061,1
1108060,38
1108059,41
1108058,31
1107073,28
1107072,12
1107071,14
1107070,0
1107069,36
1107068,12
1107065,48
1107064,2
1107062,30
1107061,18
1107060,27
1107059,18
1107057,41
1107055,37
1107054,36
1107052,23
1106090,4
1106089,22
1106088,33
1106087,2
1106086,21
1106085,49
1106084,22
1106083,5
1106082,30
1106081,17
1106080,31
1106073,21
1106072,49
1106071,22
1105067,22
1105066,12
1105065,8
1105064,35
1105063,46
1105062,35
1105061,45
1105060,5
1105059,27
1105058,2
1105057,27
1105056,37
1105055,0
1105054,47
1105053,44
1104073,7
1104072,5
1104071,27
1104070,2
1104069,15
1104068,27
1104067,24
1104066,49
1104065,42
1104062,47
1104059,47
1104058,17
1104057,36
1104056,24
1104055,45
1104054,47
1104052,2
1103074,14
1103073,16
1103072,5
1103071,34
1103070,10
1103069,17
1103066,34
1103065,49
1103064,16
1103063,34
1103059,32
1103058,13
1103057,2
1103053,36
1103052,14
1103051,32
1102073,26
1102072,15
1102071,7
1102070,31
1102069,36
1102068,48
1102067,12
1102065,39
1102060,40
1102059,36
1102058,21
1102057,46
1102055,21
1102054,42
1102052,5
1101073,38
1101072,39
1101071,4
1101070,27
1101069,45
1101068,33
1101067,15
1101064,15
1101063,47
1101061,12
1101060,25
1101058,11
1101057,38
1101056,39
1101055,29
1101054,34
1101053,38
